Learner,Email,Progress
Learner 1,Learner1@example.com,74
Learner 2,Learner2@example.com,22
Learner 3,Learner3@example.com,64
Learner 4,Learner4@example.com,6
Learner 5,Learner5@example.com,40
Learner 6,Learner6@example.com,62
Learner 7,Learner7@example.com,60
Learner 8,Learner8@example.com,44
Learner 9,Learner9@example.com,42
Learner 10,Learner10@example.com,24
Learner 11,Learner11@example.com,48
Learner 12,Learner12@example.com,46
Learner 13,Learner13@example.com,72
Learner 14,Learner14@example.com,30
Learner 15,Learner15@example.com,20
Learner 16,Learner16@example.com,78
Learner 17,Learner17@example.com,64
Learner 18,Learner18@example.com,54
Learner 19,Learner19@example.com,50
Learner 20,Learner20@example.com,50
Learner 21,Learner21@example.com,54
Learner 22,Learner22@example.com,56
Learner 23,Learner23@example.com,38
Learner 24,Learner24@example.com,50
Learner 25,Learner25@example.com,40
Learner 26,Learner26@example.com,16
Learner 27,Learner27@example.com,78
Learner 28,Learner28@example.com,34
Learner 29,Learner29@example.com,60
Learner 30,Learner30@example.com,30
Learner 31,Learner31@example.com,82
Learner 32,Learner32@example.com,82
Learner 33,Learner33@example.com,80
Learner 34,Learner34@example.com,78
Learner 35,Learner35@example.com,62
Learner 36,Learner 36@example.com,70
Learner 37,Learner 37@example.com,84
Learner 38,Learner 38@example.com,74
Learner 39,Learner 39@example.com,98
Learner 40,Learner 40@example.com,98
Learner 41,Learner 41@example.com,82
Learner 42,Learner 42@example.com,84
Learner 43,Learner 43@example.com,84
Learner 44,Learner 44@example.com,72
Learner 45,Learner 45@example.com,76
Learner 46,Learner 46@example.com,74
Learner 47,Learner 47@example.com,72
Learner 48,Learner 48@example.com,88
Learner 49,Learner 49@example.com,78
Learner 50,Learner 50@example.com,86
Learner 51,Learner 51@example.com,72
Learner 52,Learner 52@example.com,88
Learner 53,Learner 53@example.com,80
Learner 54,Learner 54@example.com,74
Learner 55,Learner 55@example.com,74
Learner 56,Learner 56@example.com,92
Learner 57,Learner 57@example.com,86
Learner 58,Learner 58@example.com,74
Learner 59,Learner 59@example.com,98
Learner 60,Learner 60@example.com,86
Learner 61,Learner 61@example.com,86
Learner 62,Learner 62@example.com,72
Learner 63,Learner 63@example.com,82
Learner 64,Learner 64@example.com,68
Learner 65,Learner 65@example.com,76
Learner 66,Learner 66@example.com,64
Learner 67,Learner 67@example.com,60
Learner 68,Learner 68@example.com,98
Learner 69,Learner 69@example.com,92
Learner 70,Learner 70@example.com,90
