username,email,Knowledge Check 1,Knowledge Check 2,Final Exam,Total,Last visit,Stuck
learner1,learner1@example.com,90,70,70,74,21/07/2020,
learner2,learner2@example.com,40,40,10,22,,
learner3,learner3@example.com,70,10,80,64,,
learner4,learner4@example.com,0,30,0,6,,
learner5,learner5@example.com,20,90,30,40,,
learner6,learner6@example.com,0,70,80,62,,
learner7,learner7@example.com,0,30,90,60,,
learner8,learner8@example.com,0,40,60,44,,
learner9,learner9@example.com,0,90,40,42,,
learner10,learner10@example.com,40,20,20,24,,
learner11,learner11@example.com,60,90,30,48,,
learner12,learner12@example.com,90,80,20,46,,
learner13,learner13@example.com,100,20,80,72,,
learner14,learner14@example.com,80,10,20,30,,
learner15,learner15@example.com,10,90,0,20,,
learner16,learner16@example.com,50,40,100,78,,
learner17,learner17@example.com,10,40,90,64,,
learner18,learner18@example.com,60,90,40,54,,
learner19,learner19@example.com,40,30,60,50,,
learner20,learner20@example.com,70,0,60,50,,
learner21,learner21@example.com,20,100,50,54,,
learner22,learner22@example.com,10,30,80,56,,
learner23,learner23@example.com,90,10,30,38,,
learner24,learner24@example.com,10,90,50,50,,
learner25,learner25@example.com,80,90,10,40,,
learner26,learner26@example.com,40,40,0,16,,
learner27,learner27@example.com,90,0,100,78,,
learner28,learner28@example.com,30,20,40,34,,
learner29,learner29@example.com,50,100,50,60,,
learner30,learner30@example.com,50,100,0,30,,
learner31,learner31@example.com,80,60,90,82,,
learner32,learner32@example.com,80,60,90,82,,
learner33,learner33@example.com,60,70,90,80,,
learner34,learner34@example.com,60,60,90,78,,
learner35,learner35@example.com,60,70,60,62,,
learner36,learner36@example.com,100,70,60,70,,
learner37,learner37@example.com,80,70,90,84,,
learner38,learner38@example.com,90,100,60,74,,
learner39,learner39@example.com,100,90,100,98,,
learner40,learner40@example.com,90,100,100,98,,
learner41,learner41@example.com,70,70,90,82,,
learner42,learner42@example.com,80,70,90,84,,
learner43,learner43@example.com,100,80,80,84,,
learner44,learner44@example.com,60,60,80,72,,
learner45,learner45@example.com,80,90,70,76,,
learner46,learner46@example.com,100,60,70,74,,Video Content Examples
learner47,learner47@example.com,80,70,70,72,,Video Content Examples
learner48,learner48@example.com,80,90,90,88,,Video Content Examples
learner49,learner49@example.com,80,70,80,78,,Video Content Examples
learner50,learner50@example.com,90,100,80,86,,Video Content Examples
learner51,learner51@example.com,90,60,70,72,,Video Content Examples
learner52,learner52@example.com,100,70,90,88,,Video Content Examples
learner53,learner53@example.com,90,100,70,80,,Video Content Examples
learner54,learner54@example.com,60,100,70,74,,Video Content Examples
